tokenizer	language_script	group	sentences	avg_tokens	tokens_per_word	tokens_per_char	unk_token_pct	single_char_token_pct	byte_token_pct
xlmr_base	azb_Arab	head	200	57.130000	2.394384	0.448589	0.000000	25.083144	0.000000
v5_tokenizer	azb_Arab	head	200	54.100000	2.267393	0.424797	0.000000	22.975970	0.000000
xlmr_base	glg_Latn	head	200	28.640000	1.468718	0.283817	0.000000	22.398743	0.000000
v5_tokenizer	glg_Latn	head	200	28.130000	1.442564	0.278763	0.000000	22.378244	0.000000
xlmr_base	fas_Arab	head	200	24.645000	1.361602	0.345628	0.000000	18.198418	0.000000
v5_tokenizer	fas_Arab	head	200	23.965000	1.324033	0.336091	0.000000	16.336324	0.000000
xlmr_base	eng_Latn	head	200	21.630000	1.372462	0.279349	0.000000	16.782247	0.000000
v5_tokenizer	eng_Latn	head	200	20.900000	1.326142	0.269921	0.000000	16.459330	0.000000
xlmr_base	mkd_Cyrl	head	200	35.510000	1.637160	0.305370	0.000000	17.924528	0.000000
v5_tokenizer	mkd_Cyrl	head	200	34.525000	1.591747	0.296900	0.000000	18.044895	0.000000
xlmr_base	ind_Latn	head	200	20.625000	1.475322	0.244502	0.000000	15.151515	0.000000
v5_tokenizer	ind_Latn	head	200	19.735000	1.411660	0.233952	0.000000	14.998733	0.000000
xlmr_base	por_Latn	head	200	21.280000	1.462543	0.290274	0.000000	23.143797	0.000000
v5_tokenizer	por_Latn	head	200	20.990000	1.442612	0.286318	0.000000	22.963316	0.000000
xlmr_base	spa_Latn	head	200	23.970000	1.437050	0.278074	0.000000	19.044639	0.000000
v5_tokenizer	spa_Latn	head	200	23.520000	1.410072	0.272854	0.000000	19.047619	0.000000
xlmr_base	dan_Latn	head	200	24.240000	1.558341	0.295700	0.000000	19.554455	0.000000
v5_tokenizer	dan_Latn	head	200	23.590000	1.516554	0.287771	0.000000	19.584570	0.000000
xlmr_base	khm_Khmr	head	200	68.095000	3.352782	0.336413	0.000000	21.337837	0.000000
v5_tokenizer	khm_Khmr	head	200	57.140000	2.813392	0.282291	0.000000	15.750788	0.000000
xlmr_base	gla_Latn	head	200	70.985000	1.896220	0.395592	0.000000	27.836867	0.000000
v5_tokenizer	gla_Latn	head	200	59.295000	1.583946	0.330445	0.000000	27.371616	0.000000
xlmr_base	uig_Latn	head	200	34.000000	2.507375	0.380505	0.000000	26.382353	0.000000
v5_tokenizer	uig_Latn	head	200	30.560000	2.253687	0.342007	0.000000	26.717932	0.049084
xlmr_base	kat_Geor	head	200	67.240000	2.368440	0.350327	0.000000	24.843843	0.000000
v5_tokenizer	kat_Geor	head	200	61.710000	2.173653	0.321515	0.000000	23.027062	0.000000
xlmr_base	mlg_Latn	head	200	45.150000	2.012480	0.349418	0.000000	20.664452	0.000000
v5_tokenizer	mlg_Latn	head	200	39.740000	1.771339	0.307549	0.000000	21.175138	0.000000
xlmr_base	snd_Arab	head	200	24.460000	1.570970	0.420094	0.000000	28.004906	0.000000
v5_tokenizer	snd_Arab	head	200	23.165000	1.487797	0.397853	0.000000	24.088064	0.000000
xlmr_base	ita_Latn	head	200	23.435000	1.513889	0.284061	0.000000	21.207595	0.000000
v5_tokenizer	ita_Latn	head	200	23.000000	1.485788	0.278788	0.000000	21.478261	0.000000
xlmr_base	hau_Arab	head	200	62.455000	2.763496	0.580869	0.000000	57.441358	0.000000
v5_tokenizer	hau_Arab	head	200	39.405000	1.743584	0.366490	0.000000	23.639132	0.000000
xlmr_base	cym_Latn	head	200	63.170000	1.798946	0.370770	0.000000	27.552636	0.000000
v5_tokenizer	cym_Latn	head	200	56.825000	1.618254	0.333529	0.000000	27.848658	0.000000
xlmr_base	srp_Latn	head	200	17.855000	1.690814	0.367879	0.000000	25.511061	0.000000
v5_tokenizer	srp_Latn	head	200	16.225000	1.536458	0.334295	0.000000	22.465331	0.000000
xlmr_base	zho_Hani	head	200	16.715000	9.286111	0.716306	0.000000	57.702662	0.000000
v5_tokenizer	zho_Hani	head	200	16.825000	9.347222	0.721020	0.000000	57.325409	0.980684
xlmr_base	tha_Thai	head	200	29.670000	4.896040	0.302925	0.000000	14.290529	0.000000
v5_tokenizer	tha_Thai	head	200	28.980000	4.782178	0.295880	0.000000	12.577640	0.000000
xlmr_base	swe_Latn	head	200	23.730000	1.589417	0.295885	0.000000	17.951960	0.000000
v5_tokenizer	swe_Latn	head	200	23.145000	1.550234	0.288591	0.000000	17.887233	0.000000
xlmr_base	pan_Guru	head	200	45.625000	1.767726	0.439399	0.000000	26.969863	0.000000
v5_tokenizer	pan_Guru	head	200	41.880000	1.622627	0.403332	0.000000	22.707736	0.000000
xlmr_base	prs_Arab	head	200	34.205000	1.450594	0.354419	0.000000	18.491449	0.000000
v5_tokenizer	prs_Arab	head	200	31.260000	1.325700	0.323904	0.000000	16.122841	0.000000
xlmr_base	pes_Arab	head	200	14.920000	1.407547	0.347300	0.000000	18.331099	0.000000
v5_tokenizer	pes_Arab	head	200	14.550000	1.372642	0.338687	0.000000	17.319588	0.000000
xlmr_base	san_Latn	head	118	143.279661	2.230181	0.344261	0.000000	31.318389	0.000000
v5_tokenizer	san_Latn	head	118	135.805085	2.113837	0.326302	0.000000	30.221529	0.000000
xlmr_base	kaz_Cyrl	head	200	44.720000	2.085335	0.306343	0.000000	23.870751	0.000000
v5_tokenizer	kaz_Cyrl	head	200	42.045000	1.960597	0.288019	0.000000	23.022952	0.000000
xlmr_base	kur_Latn	head	200	102.220000	1.751092	0.376619	0.000000	20.705341	0.000000
v5_tokenizer	kur_Latn	head	200	90.490000	1.550150	0.333401	0.000000	19.886175	0.000000
xlmr_base	mal_Mlym	head	200	35.285000	2.684291	0.300566	0.000000	21.992348	0.000000
v5_tokenizer	mal_Mlym	head	200	33.830000	2.573602	0.288172	0.000000	20.144842	0.000000
xlmr_base	nep_Deva	head	200	34.070000	1.711200	0.325515	0.000000	21.499853	0.000000
v5_tokenizer	nep_Deva	head	200	32.725000	1.643646	0.312664	0.000000	20.106952	0.000000
xlmr_base	gle_Latn	head	200	63.365000	1.849263	0.372977	0.000000	25.944922	0.000000
v5_tokenizer	gle_Latn	head	200	57.365000	1.674157	0.337660	0.000000	26.427264	0.000000
xlmr_base	swa_Latn	head	200	28.985000	1.600055	0.295705	0.000000	13.713990	0.000000
v5_tokenizer	swa_Latn	head	200	26.735000	1.475849	0.272750	0.000000	13.783430	0.000000
xlmr_base	som_Latn	head	200	49.985000	1.821279	0.323423	0.000000	16.084825	0.000000
v5_tokenizer	som_Latn	head	200	46.580000	1.697213	0.301391	0.000000	15.564620	0.000000
xlmr_base	lit_Latn	head	200	35.615000	2.029923	0.310222	0.000000	21.662221	0.000000
v5_tokenizer	lit_Latn	head	200	34.005000	1.938159	0.296198	0.000000	22.731951	0.000000
xlmr_base	guj_Gujr	v5_target	200	43.275000	1.990570	0.403666	0.000000	25.037551	0.000000
v5_tokenizer	guj_Gujr	v5_target	200	32.555000	1.497470	0.303671	0.000000	16.157272	0.000000
xlmr_base	asm_Beng	v5_target	200	77.795000	2.877566	0.521641	0.000000	40.034707	0.000000
v5_tokenizer	asm_Beng	v5_target	200	44.490000	1.645645	0.298320	0.000000	21.229490	0.000000
xlmr_base	srp_Cyrl	v5_target	200	24.395000	1.748746	0.343374	0.000000	23.918836	0.000000
v5_tokenizer	srp_Cyrl	v5_target	200	22.815000	1.635484	0.321134	0.000000	23.997370	0.000000
xlmr_base	sun_Latn	v5_target	200	41.130000	1.891469	0.325151	0.000000	18.563093	0.000000
v5_tokenizer	sun_Latn	v5_target	200	34.780000	1.599448	0.274952	0.000000	18.243243	0.000000
xlmr_base	zsm_Latn	v5_target	200	24.495000	1.495878	0.249847	0.000000	14.206981	0.000000
v5_tokenizer	zsm_Latn	v5_target	200	23.060000	1.408244	0.235210	0.000000	14.180399	0.000000
xlmr_base	aze_Latn	v5_target	200	56.850000	1.998594	0.294644	0.000000	21.838171	0.000000
v5_tokenizer	aze_Latn	v5_target	200	47.270000	1.661803	0.244992	0.000000	20.901206	0.000000
xlmr_base	fil_Latn	v5_target	200	51.245000	1.557599	0.303297	0.000000	15.796663	0.000000
v5_tokenizer	fil_Latn	v5_target	200	45.310000	1.377204	0.268170	0.000000	15.272567	0.000000
xlmr_base	bos_Latn	v5_target	200	21.090000	1.701493	0.335588	0.000000	23.020389	0.000000
v5_tokenizer	bos_Latn	v5_target	200	19.340000	1.560307	0.307741	0.000000	23.422958	0.000000
xlmr_base	dzo_Tibt	v5_target	200	16.410000	4.223938	0.194801	0.000000	34.460695	0.000000
v5_tokenizer	dzo_Tibt	v5_target	200	23.295000	5.996139	0.276531	0.000000	14.638334	0.000000
xlmr_base	sat_Olck	v5_target	200	99.360000	2.117196	0.455550	0.000000	8.172303	0.000000
v5_tokenizer	sat_Olck	v5_target	200	73.185000	1.559450	0.335542	0.000000	17.380611	0.000000
