model_key	phase	method	score_type	direction	src_lang	tgt_lang	examples	aligned_score_mean	aligned_score_std	hard_negative_score_mean	margin_mean	margin_min	recall_at_1	recall_at_5	recall_at_10	mrr	median_rank	hubness_at10_max_rate	hubness_at10_gini
align_mlm200	mlm200	align	centered_cosine	bsn->chr	bsn	chr	629	0.095604	0.15499	0.31363	-0.218026	-0.808771	0.00318	0.020668	0.047695	0.024161	179.0	0.135135	0.520468
align_mlm200	mlm200	align	csls_k10	bsn->chr	bsn	chr	629	-0.0029	0.001085	-0.001069	-0.001831	-0.006436	0.0	0.015898	0.030207	0.014846	242.0	0.829889	0.954478
align_mlm200	mlm200	align	centered_csls_k10	bsn->chr	bsn	chr	629	-0.422201	0.251291	-0.002762	-0.419439	-1.368878	0.004769	0.017488	0.031797	0.022624	175.0	0.062003	0.379182
align_mlm200	mlm200	align	raw_cosine	bsn->cop	bsn	cop	629	0.98941	0.001259	0.991079	-0.00167	-0.004231	0.00159	0.007949	0.020668	0.012196	291.0	0.90779	0.975536
align_mlm200	mlm200	align	centered_cosine	bsn->cop	bsn	cop	629	0.066818	0.144092	0.282805	-0.215987	-0.677957	0.0	0.004769	0.017488	0.012658	224.0	0.195548	0.575799
align_mlm200	mlm200	align	csls_k10	bsn->cop	bsn	cop	629	-0.003067	0.001144	-0.001329	-0.001739	-0.004841	0.00159	0.014308	0.027027	0.014023	260.0	0.829889	0.968205
align_mlm200	mlm200	align	centered_csls_k10	bsn->cop	bsn	cop	629	-0.438692	0.243851	-0.025595	-0.413097	-1.341873	0.00159	0.011129	0.022258	0.013693	228.0	0.074722	0.449285
align_mlm200	mlm200	align	raw_cosine	bsn->kbh	bsn	kbh	465	0.996961	0.000803	0.998154	-0.001193	-0.003496	0.010753	0.04086	0.083871	0.03482	174.0	0.849462	0.89517
align_mlm200	mlm200	align	centered_cosine	bsn->kbh	bsn	kbh	465	0.114781	0.173289	0.449829	-0.335049	-1.004442	0.008602	0.047312	0.08172	0.04009	125.0	0.193548	0.508147
align_mlm200	mlm200	align	csls_k10	bsn->kbh	bsn	kbh	465	-0.002112	0.001197	-0.000234	-0.001878	-0.006352	0.019355	0.049462	0.07957	0.043765	158.0	0.524731	0.813295
align_mlm200	mlm200	align	centered_csls_k10	bsn->kbh	bsn	kbh	465	-0.519514	0.320528	0.080508	-0.600022	-1.833616	0.017204	0.053763	0.096774	0.049001	135.0	0.077419	0.287501
align_mlm200	mlm200	align	raw_cosine	bsn->nhg	bsn	nhg	625	0.997453	0.000763	0.998471	-0.001019	-0.00579	0.0064	0.0256	0.0448	0.025536	203.0	0.5424	0.852772
align_mlm200	mlm200	align	centered_cosine	bsn->nhg	bsn	nhg	625	0.12521	0.189936	0.468268	-0.343058	-0.985115	0.0112	0.0416	0.0784	0.039309	153.0	0.168	0.516357
align_mlm200	mlm200	align	csls_k10	bsn->nhg	bsn	nhg	625	-0.001809	0.001176	-0.00017	-0.001638	-0.008918	0.008	0.0336	0.0576	0.030849	192.0	0.3264	0.741087
align_mlm200	mlm200	align	centered_csls_k10	bsn->nhg	bsn	nhg	625	-0.553911	0.350809	0.070688	-0.6246	-1.939168	0.0192	0.0496	0.0896	0.045054	163.0	0.08	0.307911
align_mlm200	mlm200	align	raw_cosine	bsn->oji	bsn	oji	626	0.989576	0.001362	0.992441	-0.002865	-0.006045	0.001597	0.01278	0.022364	0.013204	299.0	1.0	0.979579
align_mlm200	mlm200	align	centered_cosine	bsn->oji	bsn	oji	626	0.109414	0.152214	0.324456	-0.215042	-0.814628	0.004792	0.025559	0.047923	0.025549	176.0	0.135783	0.505586
align_mlm200	mlm200	align	csls_k10	bsn->oji	bsn	oji	626	-0.00349	0.001288	-0.000621	-0.002869	-0.007124	0.003195	0.014377	0.030351	0.016998	256.0	0.969649	0.969312
align_mlm200	mlm200	align	centered_csls_k10	bsn->oji	bsn	oji	626	-0.419908	0.245384	-0.004197	-0.41571	-1.39827	0.007987	0.023962	0.041534	0.024867	174.0	0.051118	0.36247
align_mlm200	mlm200	align	raw_cosine	bsn->syr	bsn	syr	629	0.978348	0.00251	0.987174	-0.008826	-0.016811	0.004769	0.009539	0.015898	0.014218	313.0	1.0	0.983601
align_mlm200	mlm200	align	centered_cosine	bsn->syr	bsn	syr	629	0.023433	0.102315	0.253469	-0.230036	-0.629253	0.00318	0.014308	0.030207	0.016866	256.0	0.217806	0.555054
