model_key	model_group	seed	direction	split	side	language	item_id	x	y
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.13.30	0.06735688	0.07876471
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.13.31	0.06855094	-0.00650973
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.13.32	0.06689447	0.04691281
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.13.33	0.06782034	-0.01421716
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.13.34	0.06993066	-0.01477604
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.13.35	0.06913954	0.02986641
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.13.36	0.06931557	-0.01139425
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.13.37	0.06625514	0.06943145
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.13.38	0.07010493	-0.03790655
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.13.39	0.0669204	0.06539623
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.13.4	0.06901556	-0.00035924
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.13.40	0.06617025	0.05144437
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.13.41	0.06952961	-0.03236878
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.13.42	0.06847777	0.03726269
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.13.43	0.06993908	-0.02708556
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.13.44	0.06702705	0.02663697
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.13.45	0.06987409	0.00106749
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.13.46	0.07028857	-0.04782432
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.13.47	0.06585894	-0.01511864
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.13.48	0.06856046	-0.0005095
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.13.49	0.06817209	0.07700602
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.13.5	0.06943119	0.00358764
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.13.50	0.06771802	-0.04153879
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.13.51	0.06583373	0.01906387
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.13.52	0.06897929	0.07584348
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.13.6	0.06237201	-0.02382852
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.13.7	0.0646995	-0.02725579
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.13.8	0.0655617	-0.01922726
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.13.9	0.06629363	0.05714871
