model_key	run_name	record_index	step	total_steps	loss	learning_rate	epoch	log_path
v5_random	v5_random_mlm_10k	63	6300	10000	3.1988	1.853e-05	0.35	/home/axt/mnt2/jongha/v5_glot50010/runs/logs/train_v5_v5_random_mlm_10k_20260627_005616.log
v5_random	v5_random_mlm_10k	64	6400	10000	3.1877	1.803e-05	0.36	/home/axt/mnt2/jongha/v5_glot50010/runs/logs/train_v5_v5_random_mlm_10k_20260627_005616.log
v5_random	v5_random_mlm_10k	65	6500	10000	3.1818	1.7530000000000003e-05	0.36	/home/axt/mnt2/jongha/v5_glot50010/runs/logs/train_v5_v5_random_mlm_10k_20260627_005616.log
v5_random	v5_random_mlm_10k	66	6600	10000	3.1716	1.703e-05	0.37	/home/axt/mnt2/jongha/v5_glot50010/runs/logs/train_v5_v5_random_mlm_10k_20260627_005616.log
v5_random	v5_random_mlm_10k	67	6700	10000	3.1658	1.6530000000000003e-05	0.37	/home/axt/mnt2/jongha/v5_glot50010/runs/logs/train_v5_v5_random_mlm_10k_20260627_005616.log
v5_random	v5_random_mlm_10k	68	6800	10000	3.163	1.603e-05	0.38	/home/axt/mnt2/jongha/v5_glot50010/runs/logs/train_v5_v5_random_mlm_10k_20260627_005616.log
v5_random	v5_random_mlm_10k	69	6900	10000	3.1584	1.553e-05	0.38	/home/axt/mnt2/jongha/v5_glot50010/runs/logs/train_v5_v5_random_mlm_10k_20260627_005616.log
v5_random	v5_random_mlm_10k	70	7000	10000	3.1553	1.503e-05	0.39	/home/axt/mnt2/jongha/v5_glot50010/runs/logs/train_v5_v5_random_mlm_10k_20260627_005616.log
v5_random	v5_random_mlm_10k	71	7100	10000	3.1455	1.4530000000000001e-05	0.4	/home/axt/mnt2/jongha/v5_glot50010/runs/logs/train_v5_v5_random_mlm_10k_20260627_005616.log
v5_random	v5_random_mlm_10k	72	7200	10000	3.1536	1.4030000000000001e-05	0.4	/home/axt/mnt2/jongha/v5_glot50010/runs/logs/train_v5_v5_random_mlm_10k_20260627_005616.log
v5_random	v5_random_mlm_10k	73	7300	10000	3.1413	1.3530000000000001e-05	0.41	/home/axt/mnt2/jongha/v5_glot50010/runs/logs/train_v5_v5_random_mlm_10k_20260627_005616.log
