metric	model_key	method	local_step	status	updated_at	out_dir	log_file
embedding_similarity	v52_fvt_conv5way_step18000	fvt	18000	done	2026-07-01 16:50:44 KST	/home/axt/jongha/Glot500-py39-eval/docs/exp/v5.2/3_evaluation/10_convergence_similarity/fvt/checkpoint-18000/embedding_similarity	/home/axt/mnt2/jongha/v5.2_glot5007/runs/logs/convergence_similarity/v52_embedding_similarity_v52_fvt_conv5way_step18000_20260701_165035.log
family_similarity	v52_fvt_conv5way_step18000	fvt	18000	done	2026-07-01 16:51:04 KST	/home/axt/jongha/Glot500-py39-eval/docs/exp/v5.2/3_evaluation/10_convergence_similarity/fvt/checkpoint-18000/family_similarity	/home/axt/mnt2/jongha/v5.2_glot5007/runs/logs/convergence_similarity/v52_family_similarity_v52_fvt_conv5way_step18000_20260701_165044.log
embedding_similarity	v52_fvt_conv5way_step19000	fvt	19000	done	2026-07-01 16:51:13 KST	/home/axt/jongha/Glot500-py39-eval/docs/exp/v5.2/3_evaluation/10_convergence_similarity/fvt/checkpoint-19000/embedding_similarity	/home/axt/mnt2/jongha/v5.2_glot5007/runs/logs/convergence_similarity/v52_embedding_similarity_v52_fvt_conv5way_step19000_20260701_165104.log
family_similarity	v52_fvt_conv5way_step19000	fvt	19000	done	2026-07-01 16:51:32 KST	/home/axt/jongha/Glot500-py39-eval/docs/exp/v5.2/3_evaluation/10_convergence_similarity/fvt/checkpoint-19000/family_similarity	/home/axt/mnt2/jongha/v5.2_glot5007/runs/logs/convergence_similarity/v52_family_similarity_v52_fvt_conv5way_step19000_20260701_165113.log
embedding_similarity	v52_fvt_conv5way_step20000	fvt	20000	done	2026-07-01 16:51:41 KST	/home/axt/jongha/Glot500-py39-eval/docs/exp/v5.2/3_evaluation/10_convergence_similarity/fvt/checkpoint-20000/embedding_similarity	/home/axt/mnt2/jongha/v5.2_glot5007/runs/logs/convergence_similarity/v52_embedding_similarity_v52_fvt_conv5way_step20000_20260701_165132.log
family_similarity	v52_fvt_conv5way_step20000	fvt	20000	done	2026-07-01 16:52:00 KST	/home/axt/jongha/Glot500-py39-eval/docs/exp/v5.2/3_evaluation/10_convergence_similarity/fvt/checkpoint-20000/family_similarity	/home/axt/mnt2/jongha/v5.2_glot5007/runs/logs/convergence_similarity/v52_family_similarity_v52_fvt_conv5way_step20000_20260701_165141.log
embedding_similarity	v52_fvt_conv5way_step21000	fvt	21000	done	2026-07-01 16:52:09 KST	/home/axt/jongha/Glot500-py39-eval/docs/exp/v5.2/3_evaluation/10_convergence_similarity/fvt/checkpoint-21000/embedding_similarity	/home/axt/mnt2/jongha/v5.2_glot5007/runs/logs/convergence_similarity/v52_embedding_similarity_v52_fvt_conv5way_step21000_20260701_165200.log
family_similarity	v52_fvt_conv5way_step21000	fvt	21000	done	2026-07-01 16:52:28 KST	/home/axt/jongha/Glot500-py39-eval/docs/exp/v5.2/3_evaluation/10_convergence_similarity/fvt/checkpoint-21000/family_similarity	/home/axt/mnt2/jongha/v5.2_glot5007/runs/logs/convergence_similarity/v52_family_similarity_v52_fvt_conv5way_step21000_20260701_165209.log
embedding_similarity	v52_weighted_fvt_conv5way_step1000	weighted_fvt	1000	done	2026-07-01 16:52:37 KST	/home/axt/jongha/Glot500-py39-eval/docs/exp/v5.2/3_evaluation/10_convergence_similarity/weighted_fvt/checkpoint-1000/embedding_similarity	/home/axt/mnt2/jongha/v5.2_glot5007/runs/logs/convergence_similarity/v52_embedding_similarity_v52_weighted_fvt_conv5way_step1000_20260701_165228.log
family_similarity	v52_weighted_fvt_conv5way_step1000	weighted_fvt	1000	done	2026-07-01 16:52:56 KST	/home/axt/jongha/Glot500-py39-eval/docs/exp/v5.2/3_evaluation/10_convergence_similarity/weighted_fvt/checkpoint-1000/family_similarity	/home/axt/mnt2/jongha/v5.2_glot5007/runs/logs/convergence_similarity/v52_family_similarity_v52_weighted_fvt_conv5way_step1000_20260701_165237.log
embedding_similarity	v52_weighted_fvt_conv5way_step2000	weighted_fvt	2000	done	2026-07-01 16:53:05 KST	/home/axt/jongha/Glot500-py39-eval/docs/exp/v5.2/3_evaluation/10_convergence_similarity/weighted_fvt/checkpoint-2000/embedding_similarity	/home/axt/mnt2/jongha/v5.2_glot5007/runs/logs/convergence_similarity/v52_embedding_similarity_v52_weighted_fvt_conv5way_step2000_20260701_165257.log
