metric	method	local_step	model_key	summary_type	group	pairs	mean_cosine	mean_centered_cosine	source_file
embedding_similarity	family_mean	50000	v52_family_mean_conv5way_step50000	roundtrip_src_eng	v5_target	300	0.914374	0.021298	docs/exp/v5.2/3_evaluation/10_convergence_similarity/family_mean/checkpoint-50000/embedding_similarity/similarity_summary.tsv
embedding_similarity	family_mean	50000	v52_family_mean_conv5way_step50000	roundtrip_src_pivot	all	300	0.936302	0.334108	docs/exp/v5.2/3_evaluation/10_convergence_similarity/family_mean/checkpoint-50000/embedding_similarity/similarity_summary.tsv
embedding_similarity	family_mean	50000	v52_family_mean_conv5way_step50000	roundtrip_src_pivot	v5_target	300	0.936302	0.334108	docs/exp/v5.2/3_evaluation/10_convergence_similarity/family_mean/checkpoint-50000/embedding_similarity/similarity_summary.tsv
embedding_similarity	family_mean	50000	v52_family_mean_conv5way_step50000	same_language_bible_adjacent	all	300	0.978612	0.763382	docs/exp/v5.2/3_evaluation/10_convergence_similarity/family_mean/checkpoint-50000/embedding_similarity/similarity_summary.tsv
embedding_similarity	family_mean	50000	v52_family_mean_conv5way_step50000	same_language_bible_adjacent	v5_target	300	0.978612	0.763382	docs/exp/v5.2/3_evaluation/10_convergence_similarity/family_mean/checkpoint-50000/embedding_similarity/similarity_summary.tsv
embedding_similarity	family_mean	50000	v52_family_mean_conv5way_step50000	same_language_tatoeba_adjacent	all	300	0.949765	0.413482	docs/exp/v5.2/3_evaluation/10_convergence_similarity/family_mean/checkpoint-50000/embedding_similarity/similarity_summary.tsv
embedding_similarity	family_mean	50000	v52_family_mean_conv5way_step50000	same_language_tatoeba_adjacent	v5_target	300	0.949765	0.413482	docs/exp/v5.2/3_evaluation/10_convergence_similarity/family_mean/checkpoint-50000/embedding_similarity/similarity_summary.tsv
family_similarity	family_mean	50000	v52_family_mean_conv5way_step50000	tail_head_different_family_different_script	tail_anchored	1856	0.901619	-0.076457	docs/exp/v5.2/3_evaluation/10_convergence_similarity/family_mean/checkpoint-50000/family_similarity/family_pair_summary.tsv
family_similarity	family_mean	50000	v52_family_mean_conv5way_step50000	tail_head_different_family_same_script	tail_anchored	6100	0.908092	-0.043598	docs/exp/v5.2/3_evaluation/10_convergence_similarity/family_mean/checkpoint-50000/family_similarity/family_pair_summary.tsv
family_similarity	family_mean	50000	v52_family_mean_conv5way_step50000	tail_head_same_family	tail_anchored	1050	0.927941	0.063329	docs/exp/v5.2/3_evaluation/10_convergence_similarity/family_mean/checkpoint-50000/family_similarity/family_pair_summary.tsv
